,first_language,funding,school,fast_track,coop,residency,gender,prev_education,age_group,english_grade,first_term_gpa,second_term_gpa,high_school_average_mark,math_score
224,1,2,6,2,1,1,2,1,2,9,2.0997353800000007,1.4685024200000003,64.0,21.0
225,3,4,6,1,2,2,2,1,3,7,3.4,3.090909,86.12,43.51
226,1,4,6,2,2,2,2,0,3,8,2.657895,1.888889,67.63,14.0
227,1,4,6,1,1,2,2,2,4,9,3.826923,4.347826,93.44,41.48
228,3,4,6,2,2,2,1,1,1,7,1.086957,1.45,70.13,29.74
229,1,2,6,2,2,1,2,1,1,9,3.28,2.795455,84.0,28.0
230,1,2,6,2,2,1,2,0,2,9,0.0,0.00266667,56.95,16.0
231,3,4,6,2,2,2,2,1,2,9,3.75,3.02381,86.97,46.0
232,1,2,6,2,1,1,2,1,2,9,0.0,0.08066161000000001,92.0,32.94
233,1,2,6,2,2,1,1,1,2,9,2.318182,0.0,63.0,17.0
234,3,4,6,1,2,2,2,2,3,9,4.057692,3.73913,89.48,45.54
235,3,4,6,2,2,2,2,1,2,7,1.973684,1.204545,72.11,37.99
236,3,2,6,2,2,1,2,1,2,4,2.2565360800000005,1.6969188099999999,74.0,33.0
237,1,2,6,2,2,1,2,0,3,7,2.571429,0.0,64.65,19.0
238,3,4,6,1,1,2,2,2,3,9,3.391304,2.547619,83.67,43.71
239,1,2,6,2,2,1,2,1,1,3,4.2,4.142857,83.0,25.0
240,3,4,6,1,2,2,2,2,3,10,2.73913,2.64,79.73,35.26
241,3,4,6,1,2,2,1,2,3,8,3.694444,3.166667,87.1,44.43
242,3,4,6,2,2,2,2,1,1,8,2.804348,3.0,82.01,42.0
243,3,4,6,1,2,2,2,2,3,8,3.0,3.153846,82.26,41.68
244,1,2,6,2,1,1,2,1,7,7,1.0,1.538462,65.0,19.0
245,1,2,6,2,1,1,2,1,1,9,1.071429,0.0,71.84,31.0
246,1,2,6,1,1,1,1,2,3,9,3.565217,4.0,86.0,37.44
247,1,2,6,2,2,1,1,2,4,9,4.309524,4.190476,81.0,39.0
248,3,4,6,1,2,2,2,1,3,9,2.033333,2.071429,71.36,35.7
249,1,2,6,2,1,1,2,2,2,9,3.047619,3.195652,79.0,34.0
